Request DOC-ID,Date Posted,Date Received,10-Digit HTS,6-Digit HTS,BEC-Code,BEC-Description,Submitter LastName,Submitter FirstName,Organisation Name,Product Title,Approved,Denied,Pending
USTR-2018-0032-0004,9/24/2018,9/19/2018,8536507000,853650,42,Intermediate,Helmke,Richard,HomeSeer Technologies LLC,home automation wall switch,0,1,0
USTR-2018-0032-0005,9/24/2018,9/21/2018,3921901950,392190,22,Intermediate,Markovsky,Ronald,Cooley Group,five-meter-wide PVC-free textile print media,1,0,0
USTR-2018-0032-0006,9/24/2018,9/21/2018,3921190000,392119,22,Intermediate,Gross,Kevin,Hyperform,sheet of non-skid closed cell EVA/PE foam,1,0,0
USTR-2018-0032-0007,9/24/2018,9/19/2018,3403195000,340319,322,Intermediate,Valle,Rafael,Rafael Valle,white powder,0,1,0
USTR-2018-0032-0008,9/27/2018,9/25/2018,8529109100,852910,42,Intermediate,Shield,Robert,Yokowo Manufacturing of America LLC,automotive antenna,0,1,0
USTR-2018-0032-0009,9/27/2018,9/25/2018,8544492000,854449,22,Intermediate,Krauss,Erica,IEWC Corporation,electronic cable,0,1,0
USTR-2018-0032-0010,9/27/2018,9/26/2018,8542310001,854231,63,Consumption,Scalf,Andrew,"Toyota Tsusho Nexty Electronics America, Inc.",16-bit micro controller,0,1,0
USTR-2018-0032-0011,9/27/2018,9/26/2018,8541100080,854110,42,Intermediate,Scalf,Andrew,"Toyota Tsusho Nexty Electronics America, Inc.",high-speed switching diode,0,1,0
USTR-2018-0032-0012,9/27/2018,9/26/2018,8541100070,854110,42,Intermediate,Scalf,Andrew,"Toyota Tsusho Nexty Electronics America, Inc.",high-speed switching diode,0,1,0
USTR-2018-0032-0013,9/27/2018,9/26/2018,8541100050,854110,42,Intermediate,Scalf,Andrew,"Toyota Tsusho Nexty Electronics America, Inc.",single zener diode,0,1,0
USTR-2018-0032-0014,9/27/2018,9/26/2018,3921901100,392190,22,Intermediate,Glick,Leslie Alan,Inteva Products,vinyl,1,0,0
USTR-2018-0032-0015,10/3/2018,10/1/2018,3907200000,390720,22,Intermediate,Murphy,Rory,Quaker Chemical Corporation,P-FILA,0,1,0
USTR-2018-0032-0016,10/3/2018,10/1/2018,3910000000,391000,22,Intermediate,Murphy,Rory,Quaker Chemical Corporation,polymethylhydrosiloxane,0,1,0
USTR-2018-0032-0017,10/3/2018,10/1/2018,9025198080,902519,41,Capital,Mundt,Carsten,B&C LLC,handheld IR thermometer,0,1,0
USTR-2018-0032-0018,10/3/2018,10/1/2018,9028300000,902830,41,Capital,Brouwer,Doug,"EKM Metering, Inc.",electricity metering and monitoring unit,0,1,0
USTR-2018-0032-0019,10/3/2018,9/27/2018,3901901000,390190,22,Intermediate,Fasolino,Nicholas,"ARP Materials, Inc.",chlorinated polyethylene,0,1,0
USTR-2018-0032-0020,10/3/2018,10/1/2018,8432290060,843229,41,Capital,Slivoski,Janet,Great States Corporation,electric tiller,0,1,0
USTR-2018-0032-0021,10/4/2018,9/28/2018,3914006000,391400,22,Intermediate,Weiner,Richard,Purolite Corporation,ion exchange resin,0,1,0
USTR-2018-0032-0022,10/4/2018,9/28/2018,3914006000,391400,22,Intermediate,Weiner,Richard,Purolite Corporation,ion exchange resin,0,1,0
USTR-2018-0032-0023,10/4/2018,9/28/2018,3914006000,391400,22,Intermediate,Weiner,Richard,Purolite Corporation,ion exchange resin,0,1,0
USTR-2018-0032-0024,10/4/2018,9/28/2018,3914006000,391400,22,Intermediate,Weiner,Richard,Purolite Corporation,ion exchange resin,0,1,0
USTR-2018-0032-0025,10/4/2018,9/28/2018,3914006000,391400,22,Intermediate,Weiner,Richard,Purolite Corporation,ion exchange resin,0,1,0
USTR-2018-0032-0026,10/5/2018,9/19/2018,8543709940,854370,41,Capital,Spircoff,Robert,"Boulder International, Inc.",ABS plastic body and tank,0,1,0
USTR-2018-0032-0027,10/5/2018,9/26/2018,9025198080,902519,41,Capital,Pan,Yan,Tenergy Corporation,BBQ thermometer,0,1,0
USTR-2018-0032-0028,10/10/2018,9/28/2018,8501204000,850120,41,Capital,Malyugin,Alex,VBN Sales LLC DBA Aleko Products,nylon gear rack for sliding gate opener,0,1,0
USTR-2018-0032-0029,10/10/2018,9/28/2018,8501204000,850120,41,Capital,Malyugin,Alex,VBN Sales LLC DBA Aleko Products,articulated swing gate opener,0,1,0
USTR-2018-0032-0030,10/10/2018,9/28/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,0,1,0
USTR-2018-0032-0031,10/10/2018,9/28/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,1,0,0
USTR-2018-0032-0032,10/10/2018,9/28/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,sliding gate opener,1,0,0
USTR-2018-0032-0033,10/10/2018,9/28/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,sliding gate opener,1,0,0
USTR-2018-0032-0034,10/10/2018,9/28/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,sliding gate opener,1,0,0
USTR-2018-0032-0035,10/10/2018,9/28/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,sliding gate opener,1,0,0
USTR-2018-0032-0036,10/10/2018,9/28/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,sliding gate opener,1,0,0
USTR-2018-0032-0037,10/10/2018,9/28/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,kit for gate opener,0,1,0
USTR-2018-0032-0040,10/10/2018,9/28/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,sliding gate opener,1,0,0
USTR-2018-0032-0041,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0042,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0043,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0044,10/10/2018,9/28/2018,8501204000,850120,41,Capital,Malyugin,Alex,VBN Sales LLC DBA Aleko Products,accessory kit for gate opener,0,1,0
USTR-2018-0032-0045,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0046,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0047,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0048,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0049,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0050,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0051,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0052,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0053,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0054,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0055,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0056,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0057,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0058,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0059,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0060,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0061,10/10/2018,10/1/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate and gate opener,1,0,0
USTR-2018-0032-0062,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0063,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0064,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0065,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0066,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0067,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0068,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0069,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0070,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0071,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0072,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,gate motor,1,0,0
USTR-2018-0032-0073,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0074,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0075,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,sliding gate opener,1,0,0
USTR-2018-0032-0076,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,sliding gate opener,0,1,0
USTR-2018-0032-0077,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0078,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,sliding gate opener,0,1,0
USTR-2018-0032-0079,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0080,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,sliding gate opener,0,1,0
USTR-2018-0032-0081,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0082,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0083,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,1,0,0
USTR-2018-0032-0084,10/10/2018,10/2/2018,7308909590,730890,22,Intermediate,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,driveway gate,1,0,0
USTR-2018-0032-0085,10/10/2018,10/2/2018,8501204000,850120,41,Capital,Henry,Sabrina,VBN Sales LLC DBA Aleko Products,swing gate opener operator,1,0,0
